,text,Subjectivity,Polarity,Analysis
80,vaccines wonderful protecting against viruses which not exist ukrainian soldiers were given covidvaccine… httpstcopejgm2jsfb,1.0,1.0,Positive
81,drug developer novavax says its experimental covid19 vaccine starting the 2nd phase testing in… httpstcodbk8qnotcl,0.03333333333333333,0.03333333333333333,Positive
82,novavax said monday started midstage study its experimental covid19 vaccine southafrica the… httpstcobikn4u5mlm,0.1,0.1,Positive
83,question has anyone successfully signed parents can’t because the promised email link doesn’t arrive it… httpstcodl2fsc4rzo,0.75,0.75,Positive
84,just enrolled into pivotal phase clinical trial covid vaccine stay tuned for weekly updates covidvaccine… httpstcowo0tktwkuv,0.5,0.5,Positive
85,first time months today more people are cured than infected from coronavirusis this the beginning the httpstco3uitsn8mtl,0.375,0.375,Positive
86,postpone neet ampjee exams narendramodi large numbers life are stake risk covid19 flood covidvaccine,0.21428571428571427,0.21428571428571427,Positive
87,gern today its either going cure bloodcancer down flames but will wait… httpstcowxzhvtsajv,-0.15555555555555559,-0.15555555555555559,Negative
88,often when you think youre the end something youre the beginning something else hope covidvaccine… httpstcogrmcxe8lej,0.0,0.0,Neutral
89,bought shares ibio this dip won’t hold long have however could obviously run mara smrt avgr covidvaccine,-0.025,-0.025,Negative
90,whipclyburn other dearth warrant the lack funding inoviopharma they have the best data with side httpstco9hiqsxvyce,0.4375,0.4375,Positive
91,targeted recruitment programme broadcast gujarati punjabi bengali and urdu among the measures being deplo… httpstco7ar9tvnnk4,0.0,0.0,Neutral
92,expert group meets covidvaccine makers india cases reach lakh httpstco3b5ixk3h8a anshumalini3,0.0,0.0,Neutral
93,publichealth over profits all want covidvaccine that works just not the expense our lives httpstcosdedcn6fhj,0.0,0.0,Neutral
94,india silently the job giving the world covidvaccine clinical trials phase2 progress covid19 va… httpstcoftmtwiwcgz,0.0,0.0,Neutral
95,national expert group vaccine administration meets the domestic vaccine manufactures pib pibindia… httpstcoeoci6vsewv,0.0,0.0,Neutral
96,bbcnews you pay £5000 cash tax free and i’ll take the chanceas this life you playing with and you can st… httpstcodhiuzedwq2,0.4,0.4,Positive
97,doctors seeking rautsanjay61 resignation from maharashtra uddhavthackeray doctorsecondsingle doctor… httpstcohe5g7kqtte,0.0,0.0,Neutral
98,corona iheartdynamite iheartday1contest covidvaccine trump2020 bidenharrislandslide2020 maga donald trump jo… httpstcod9cwlkigbl,0.0,0.0,Neutral
99,niaid funding opportunity notai20065 notice special interest nosi—emergency awards for limited clinical httpstcoltcyt5rlgl,0.14285714285714285,0.14285714285714285,Positive
100,more than people the have died coronavirus nearly every day this month usa died… httpstco39xmbocfvb,0.3,0.3,Positive
101,covid19 vaccine trials have been slow recruit black and latino people and that could delay vaccine… httpstcohfnn2dxion,-0.23333333333333334,-0.23333333333333334,Negative
102,vaccines are safe but huge numbers people around the world say they wouldnt take covid jab vaccines… httpstcohwu5orsdus,0.45000000000000007,0.45000000000000007,Positive
103,tffp thin film freezing pharmaceutical reformulation platform potential starting get attention covidvaccine… httpstcoot2s5wlkhq,-0.13333333333333333,-0.13333333333333333,Negative
104,covid19 vaccine about tested with hundreds volunteers httpstcojwp8jihpq7 via wamu885… httpstcoity79q6r9f,0.0,0.0,Neutral
105,trust fear and solidarity will determine the success covid vaccine httpstcofpxphsiu9h via khnews… httpstcofugx55y50a,0.3,0.3,Positive
106,dont know much about covid but mask laga laga meri sase jrur fulne lagi hai covidvaccine covid19india,0.2,0.2,Positive
107,you know the story hanneke schuitemaker covidvaccine httpstco0bmdf2okn0,0.0,0.0,Neutral
108,sanofi snags another biotech asset with billion deal for principia biopharma httpstco4crqszywft… httpstconcehfkfzs4,0.0,0.0,Neutral
109,covidvaccine lot people are ready amp eager get but many will hesitant not just because theyre war… httpstcog9raylcciz,0.35,0.35,Positive
110,mutation covid19 found malaysia the predominant strain found europe and covidvaccine httpstcogapqdd1peh,0.0,0.0,Neutral
111,cansinobio lists successfully star market initial dual listing covidvaccine china company… httpstco0evmrvpmy3,0.375,0.375,Positive
112,cvac jumping now curevac covid19 covidvaccine httpstcowmsgmnshav,0.0,0.0,Neutral
113,automatic hand sanitizer machine budget hand sanitizer machine corona prevent rajtecinfo httpstcoyd3djzedtn… httpstcozufw44gaes,0.0,0.0,Neutral
114,mutation covid19 found malaysia the predominant strain found europe and httpstcolsnzzjwmh0… httpstcowggjnokrml,0.0,0.0,Neutral
115,strain the novel coronavirus that times more infectious has been found malaysia corona… httpstcoxsfbe00mme,0.5,0.5,Positive
116,turkey russia discuss cooperation moscow’s coronavirus vaccine covid19 covidvaccine httpstcoqiibwivhah,0.0,0.0,Neutral
117,china grants 1st patent indigenously developed covid vaccine china has granted the first invention patent httpstcop2xzht5s4f,0.175,0.175,Positive
118,i’ve registered for covidvaccine trials httpstcova1pp84hhx,0.0,0.0,Neutral
119,russias covid19 vaccine has received regulatory approval for foreign marketsreuters interestingly they chose httpstcoyftmi3rnre,0.1875,0.1875,Positive
120,russia’s first batch coronavirus vaccine ready russia has announced its victory with the vaccine for… httpstcoldlfnyaetv,0.225,0.225,Positive
121,look amp learnwakeupamerica walkawayfromdemocrats covid19 covidvaccine covid19millionares plandemic… httpstcoq04or6krvb,0.0,0.0,Neutral
122,covidvaccine under clinical trial oregon doctors step for humanity httpstconecedc7wx1,0.0,0.0,Neutral
123,pledge allegiance the flag the united states america and the republic for which stands one nation… httpstcovpntixf0dy,0.0,0.0,Neutral
124,check out gig fiverr will unique minimal and modern business card design httpstco4y1eew7xbj… httpstcoxbg0rznujv,0.15833333333333335,0.15833333333333335,Positive
125,theres constant buzz about developments with covid vaccine but not every source reputable find the most up… httpstcoqiemhicbqe,0.3333333333333333,0.3333333333333333,Positive
126,think waiting for that freedom phn rather better than waiitng for this vaccine gocorona covidvaccine lockdowndays,0.5,0.5,Positive
127,covid warriors will the first ones get vaccine mosh imd gives heavy rainfall warning maharashtra find httpstcouvwvk9iftt,0.024999999999999994,0.024999999999999994,Positive
128,hope when covidvaccine gets outthese influencers who are out their partying thinking they are immune and th… httpstcoltwxchvx3i,0.0,0.0,Neutral
129,coronavirus russias covid19 vaccine comes with major safety issues says nobel laureate profpcdoherty… httpstcouh8igq2pem,0.0625,0.0625,Positive
130,science and technology for upsc lecture8 upsc exam akash httpstco4qf3vpkonf via youtube… httpstcoyorj6mrmsr,0.0,0.0,Neutral
131,ive signed have you covidvaccine bbc news more coronavirusvaccine volunteers needed httpstcoe30bxz2rwm,0.5,0.5,Positive
132,covid19 vaccine race china approves first coronavirus vaccine patent httpstcoz0rubc2ujf covidvaccinerace… httpstcotdx5wzx534,0.25,0.25,Positive
133,will you get covid19 vaccine when there one the pandemic wont end unless enough via usatoday covid19… httpstcodgul1th15s,0.0,0.0,Neutral
134,the vaccine known chadox1 the most advanced covid19 vaccination candidate now the final phases the cl… httpstcoua0ijjtevr,0.3,0.3,Positive
135,its predicted once vaccine market china will come out with vaccine covidvaccine httpstcoosl2jjyj7n,0.0,0.0,Neutral
136,china grants 1st patent indigenously developed covidvaccine httpstcoxycpamvfxt,0.1,0.1,Positive
137,navx covidvaccine efficacy trial underway south africa part backed gates nimble company httpstcoe336g959b9,0.0,0.0,Neutral
138,covid vaccine who will get coronavirus vaccine first india covidvaccine coronavirusindia httpstco9drfplxjia,0.25,0.25,Positive
139,novavax begins midstage study covid19 vaccine south africa httpstcoql24janajn covid19… httpstcokhkrpzhmkh,0.0,0.0,Neutral
140,the first corona vaccine was invented russia everyone optimistic covidvaccine httpstcoiupqmmqco3,0.25,0.25,Positive
141,iqoo and pro launched hindi httpstcop5ojeofnyq iqoo iqoo5 iqoo5pro iqoo3 samsung xiaomi realme… httpstcoegcwrqfnpq,0.0,0.0,Neutral
142,iqoo and pro launched hindi httpstcojzlkusdgos iqoo iqoo5 iqoo5pro iqoo3 samsung xiaomi realme… httpstcoomh69m0wrz,0.0,0.0,Neutral
143,genuinely curious can understand vaccine takes time but why there still overthecounter min kind httpstcovf7gc4q9te,0.25,0.25,Positive
144,donaldtrump putin after covidvaccine httpstcoghuv6ublvs,0.0,0.0,Neutral
145,china has granted first invention patent covidvaccine codeveloped cansinobiologics inc the country… httpstcouncclqhbmc,0.25,0.25,Positive
146,covid19 recovered patients protected during massive outbreak vessel how long antibodies last covi… httpstcooz3uufdhli,-0.016666666666666666,-0.016666666666666666,Negative
147,change the course the covid19 pandemic fujifilmdiosyn have expanded their partnership with novavax man… httpstcoiezfttmvpn,0.0,0.0,Neutral
148,withholding from the world the original genetic code the china virus that created the chinese communist httpstcovzclm8lws7,0.1875,0.1875,Positive
149,trump serious with his new oprahbookclubpick for covid19 cures first hydroxychloroquine and now oleander… httpstcoputxybubf3,0.01767676767676768,0.01767676767676768,Positive
150,covid19 vocabulary english pandemic click here httpstcoevhdpgooie via youtube covid19 covid19… httpstcos3njjqceh6,0.0,0.0,Neutral
151,wifes off for her covidvaccine booster this morning there shall cake and coffee when she gets back from,0.0,0.0,Neutral
152,thx for the shout out biometricupdate when the covidvaccine released the world will embark one the mos… httpstcomkjxtf7qaz,0.0,0.0,Neutral
153,four techniques olympic athletes will use retain their skills for another year httpstcooxlredxvsb… httpstcotqs9sn1btz,0.0,0.0,Neutral
154,according health undersecretary maria rosario vergeire avigan stocks for patients are already the countr… httpstcobhedogkr0i,0.0,0.0,Neutral
155,china the ground zero the novel coronavirus outbreak confirmed sunday its first covidvaccine patent devel… httpstcohj5u19lnjn,0.325,0.325,Positive
156,fresh cases italy amp newzealand times more deadly virus discovered malaysia china has literally… httpstconpinmmfcuy,0.20000000000000004,0.20000000000000004,Positive
157,cvac another german trading worth much bntx now buckle for more craziness covidvaccine mrna nvax,0.25,0.25,Positive
158,covid19 ways terrorize nation into accepting dangerous dnaaltering vacinations id2020… httpstcow11lsnymsh,-0.6,-0.6,Negative
159,this vaccine reliable when will available for largescale vaccinations august hkt… httpstco0vvj2gilgo,0.4,0.4,Positive
160,first batch russian vaccine ready roll out from augustend says report august hkt… httpstcobrtga7hcni,0.15,0.15,Positive
161,good news for covidwarriors covidvaccine sandhyafernez rohit4464 boomzy1231 darshannpopat… httpstcozoqwgtlp6b,0.7,0.7,Positive
162,local pharmaceutical company had expressed interest reproduce covidvaccine that other countries may develo… httpstcoacgjwmahg2,-0.0625,-0.0625,Negative
163,soumya swaminathan was saturday conferred with the tamil nadu chief ministers special award recognition of… httpstcowl3rk0vpd6,0.35714285714285715,0.35714285714285715,Positive
164,say ban covidvaccine from trumpians,0.0,0.0,Neutral
165,when get the covidvaccine callrepublicans can only get from usps,0.0,0.0,Neutral
166,watch tnmnewsinanutshell with poojaprasanna4 telanganarains hyderabadrains bengalururiot updates and… httpstco8z59mwl6nf,0.0,0.0,Neutral
167,newsinnerwest smh there covidvaccine before 31st decemebr it’s probably not good idea have… httpstcofddjbzn40x,-0.35,-0.35,Negative
168,covid19 vocabulary english pathogen click here httpstcomhb1gllqmh via youtube covid19 covid19… httpstcom7oalm0mmk,0.0,0.0,Neutral
169,russia’s new sputnik launch raises risks dash for covidvaccine join with online vaccinerd2020 twitter… httpstco3doz0nsrif,0.13636363636363635,0.13636363636363635,Positive
170,nobel prize winner professor peter doherty has backed russia’s controversial decision begin manufacturing covid… httpstcoxslubbwb5r,0.55,0.55,Positive
171,our recent contributions developing protein based subunit vaccine combat covid19 covidvaccine… httpstcoawrt0t6bkl,0.0,0.0,Neutral
172,chinese covid19 updates from kcdc access multilingual information vital covidvaccine mask corona19… httpstcowaaz3t1rj8,0.05,0.05,Positive
173,the key success focus goalsnot obstaclesgettodoor1 physicaldistancing covid19millionaires… httpstcojm3pzgeoms,0.15,0.15,Positive
174,keep your pets indoor this situation covid19millionaires covidvaccine covid19 covid19pets httpstco5jsnl7qcax,0.0,0.0,Neutral
175,tmz dont give shitwill never get work for myself anyway they can stick where the sun dont httpstcoxbpibyxsjy,0.0,0.0,Neutral
176,this mutation earlier seen other parts the world and called d614g was found least three the cas… httpstco9nrl3mr9nf,-0.14166666666666666,-0.14166666666666666,Negative
177,malaysia has detected new mutated strain coronavirus d614g that times more infectious than other strains httpstcoxqx07lqnm8,0.17045454545454544,0.17045454545454544,Positive
178,covidvaccine should fairly made amp distributed only vote for bidenharrislandslide2020 will make sure tha… httpstcoarugyzee1g,0.39999999999999997,0.39999999999999997,Positive
179,imp ques people already infected with coronavirus will they eligible for vaccination and when the… httpstco6q1h4txmp9,0.0,0.0,Neutral
180,ebselen used treat multiple diseases including bipolar disorder and hearing loss covid19 coronavirus… httpstcojtwdmtuzvi,0.0,0.0,Neutral
181,mexico president says covid19 vaccine expected ready early next year live breaking news headlines amp coronav… httpstcoewyaefrpu7,0.06727272727272728,0.06727272727272728,Positive
182,china inactivated vaccine sinopharm seems safe candidate that generates immune response here latest article… httpstcoinfmtgbrrk,0.5,0.5,Positive
183,russia produces first batch covidvaccine safetyfirst phase3 trial httpstco3nqcqv5fee,0.25,0.25,Positive
184,malaysia detects new coronavirus strain that’s times more infectious covid19 covidvaccine secondwavecovid httpstcoiw7u6fteid,0.3181818181818182,0.3181818181818182,Positive
185,great this’ll really help the queue can’t morrison anything right greghuntmp ends doing mor… httpstcoqyucu8w4cz,0.42857142857142855,0.42857142857142855,Positive
186,digmemepray well there you still want the covidvaccine one the richest men alive amp still brainwashed en… httpstcoysmnmh7rum,0.1,0.1,Positive
187,global pandemic covid19 india has some bigger problems findout who binod click here see late… httpstco37dd40wtho,0.0,0.0,Neutral
188,mrshikharmisra imawear kathyb143 lesliea10115 summerpic teacuptutucharm cathyjotaylor same you shik… httpstcofccw3uhbtw,0.0,0.0,Neutral
189,drgsrao herdimmunity doesnt work out without vaccine covidvaccine please follow faheemyounus tweets you… httpstcowaytur3wxc,0.0,0.0,Neutral
190,need diligent during phase3 trials are going vaccinate many people even mild moderate… httpstcow2qx5ckp53,0.41666666666666663,0.41666666666666663,Positive
191,sunriseon7 does say it’s the begging mid towards the end next year really can not wait for… httpstcovswasbwdxp,0.06666666666666667,0.06666666666666667,Positive
192,houstonarea doctor center controversial coronavirus cure video httpstcoxpymss5weo covid19 covid covid19 covidvaccine,0.22500000000000003,0.22500000000000003,Positive
193,australian scientist working human trials potential coronavirus vaccines “very optimistic” that jab httpstcoomdukmobvs,0.05,0.05,Positive
194,check out kingkhieus video tiktok covid19 covidvaccine httpstco1ajjxjg6us,0.0,0.0,Neutral
195,can rush science but cant rush the human response vaccine have see what the long term sustainab… httpstcoke0co1ldv1,-0.025,-0.025,Negative
196,love this guy peace love and light vaccine covidvaccine covid19 covid19millionaires httpstcouxxt42baoe,0.5,0.5,Positive
197,degrees fresno degrees sacramento mother nature encourages sheltering place will blossom spring covidvaccine,0.0,0.0,Neutral
198,thanks our fearless leader realdonaldtrump have now officially bought million doses highly dangerous… httpstco2vsw0v3j6z,0.18,0.18,Positive
199,will year before covidvaccine ready who scientist soumya swaminathan the new indian express httpstco7uzmxde2ef,0.16818181818181818,0.16818181818181818,Positive
200,jaywalk90075373 gavinnewsom its nuts and now theyre talking about getting the flu shot you dont think they… httpstco2bxsee30ji,0.0,0.0,Neutral
201,russia’s new sputnik launch raises risks dash for covidvaccine httpstcoq3owx8solf,0.13636363636363635,0.13636363636363635,Positive
202,timesnow this man has got verbal diarrhea keeps shit coming out his mouth covidvaccine,-0.2,-0.2,Negative
203,somebody told they think the president has the vaccine for covid but he’s with holding because population… httpstcoy9s79ohfmr,0.0,0.0,Neutral
204,important part science admitting when we’re wrongespecially when lives are risk vaccinetrials… httpstcomahqwgqsuw,0.4,0.4,Positive
205,epidemiologist but know that this makes sense little bit biology evolution and critical thinking… httpstcorbcwswxnor,-0.09375,-0.09375,Negative
206,part developing covid19 vaccine are looking for people over the age join our vaccine resear… httpstcop37rlpeeqk,0.0,0.0,Neutral
207,independencedayindia2020 felicitation partha sarathy reddy hetero drugs heteroofficial remdesivir for cov… httpstcogtznpzkjuu,0.0,0.0,Neutral
208,the silent killer just like directedenergyweapons cause damage smartmeter smartphone give off radiation wi… httpstco14xoes03ut,0.0,0.0,Neutral
209,the says russia’s approved covidvaccine president trump says ‘we hope works’ the past president… httpstconeruyyn2fw,-0.25,-0.25,Negative
210,pretty neat comparison covidvaccine around the world httpstcoancbmv6b7l,0.25,0.25,Positive
211,surakshabeforepariksha sir drrpnishank please postphone the neetampjee the threat covid19 still there… httpstcoxpiwcnnc8n,0.0,0.0,Neutral
212,fall line else ready become social pariah covidvaccine obey facemasks scamdemic,0.11666666666666667,0.11666666666666667,Positive
213,covid19 noone safe until everyone safe who important when think about covidvaccine vaccine… httpstcoxdxgn89pgg,0.4666666666666666,0.4666666666666666,Positive
214,smh wouldnt trust word that comes out health minister greg hunts mouth hasnt even made face masks com… httpstcow7hg9i2lvu,0.0,0.0,Neutral
215,delhi covidvaccine much respite delhites from covid19 only deaths around new cases past hours recovery rate,0.02159090909090909,0.02159090909090909,Positive
216,and many many many many references covid deaths which the trumps care not the ass rat httpstcocbzzmwwwuh,0.5,0.5,Positive
217,purenewzealand httpstcorjqm58joxe newzealand love from india covid19 covidvaccine corruptionmustfall… httpstcosjugrtjjmy,0.5,0.5,Positive
218,infographic top sarscov2 vaccines covidvaccine httpstcoczrxo4zprd,0.5,0.5,Positive
219,even covidvaccine could developed the coming months and garner usfda approval the distribution and… httpstcopvdothrgih,0.1,0.1,Positive
220,bali may not welcome foreign tourists all this year travel tourism indonesia bali foreigntourists covid… httpstcobjtgbfptmb,-0.2625,-0.2625,Negative
221,trial version year before now 4gtrial covidvaccine kashmir httpstcok2ghobwjgm,0.0,0.0,Neutral
222,boring life itsokaytonotbeokayep16 apple boycottsadak2 apple besaf covidー19 covid19 fashionstyle… httpstcorz2uhqnocs,-1.0,-1.0,Negative
223,covid19 recovery rate india has crossed covidvaccine the pipeline httpstcoo9q16f8f2t,0.0,0.0,Neutral
224,billgates got you covered cantmakethisshitup billgates billionaire who wants he… httpstcof9rnkxvcwj,0.2,0.2,Positive
